"Confirmed","Deaths","Recovered","Active","Incident_Rate","Case_Fatality_Ratio"
0,0,0,0.3787140555582678,0,0.6409084932032902
0.008058316275020128,0.005202783175578263,0.006385598023648631,0.39423912512815507,0.008058316275020183,0.6130500325343107
0.016901880994208918,0.010530934620447574,0.013919296910084145,0.4063857833325196,0.016901880994208918,0.5795705244633025
0.024160540596727065,0.017050084623581763,0.020621219019685777,0.4111409461504662,0.024160540596727065,0.5751529659408092
0.032190040415080445,0.02275434087632422,0.02736047774271133,0.4229849143191915,0.024160540596727065,0.5751529659408092
0.039744068698432666,0.028772017802294214,0.034741718790998966,0.4242249670458429,0.03974406869843261,0.5433796729847256
0.04307339860260767,0.03472701059361877,0.04263011550496215,0.38061807352438604,0.04307339860260767,0.5711046362522127
0.04698111595845078,0.04093273992352536,0.04632229172133201,0.3819655323927159,0.046981115958450725,0.5954577161433443
0.053563617988467205,0.04713846925343196,0.05090743527542496,0.4002831616462432,0.05356361798846715,0.5943347345124463
0.06126790351015321,0.05535009089199522,0.058064656643168844,0.4047161060391544,0.061267903510153154,0.6021401355449019
0.06903393858183926,0.06149313608725626,0.06499785833036892,0.41216618659376064,0.0690339385818392,0.5896342629407645
0.07583462235518956,0.06888986397542785,0.07409865785246023,0.38985500170873405,0.07583462235518973,0.5977765110945104
0.081885049096038,0.07584780292108062,0.0813201811655454,0.37818678904457353,0.08188504909603805,0.6083224644852203
0.0888277568343887,0.0834325832131887,0.08770266780474195,0.38278572474735145,0.08882775683438876,0.6165041650512171
0.09341163176273348,0.09101736350529677,0.09518658453994555,0.35463555143289555,0.09341163176273343,0.6450336740336065
0.09981711841608287,0.09784993418165866,0.10031310898868595,0.3660791876190011,0.09981711841608282,0.6505367945903604
0.10521608740442967,0.10405566351156526,0.1058731530044047,0.36398964995362004,0.10521608740442973,0.6590224233126962
0.11085073384194377,0.10975991976430766,0.11099345468424116,0.36835424498364494,0.11085073384194372,0.6609546587035116
0.11649258439362453,0.11590296495956875,0.11715088451474331,0.3629546453156276,0.11649258439362437,0.6665860286202641
0.12163632190863738,0.12148185294302005,0.12390466303187819,0.3473026412146658,0.12163632190863743,0.6714374682847417
0.12668537678031666,0.1257443740989156,0.13046449858483866,0.33278328369867693,0.12668537678031672,0.6657952220986809
0.13052002383532624,0.13251426064063188,0.13650473293431553,0.31124347019479565,0.13052002383532618,0.6914200364036214
0.13464283545700328,0.13790509622014668,0.1417277103010679,0.3003466289117805,0.13464283545700334,0.7027618520486802
0.13870183921034673,0.1430451952610794,0.14725456621596533,0.28602255528975246,0.13870183921034657,0.7123805990144385
0.14254471953868963,0.1481852943020121,0.15226804369628322,0.2744812771566665,0.14254471953868958,0.723632893384611
0.1467303098695335,0.15276123613113524,0.15731056076481975,0.2660059561587658,0.14673030986953356,0.7273186674364567
0.15024900506037564,0.15758791449884035,0.1624090827534923,0.25063711370404723,0.15024900506037558,0.7383867298796032
0.15303390976538256,0.16191311978938128,0.1672026890658691,0.23125518722843333,0.15303390976538261,0.7511656497974268
0.15475672221038683,0.1658622202720491,0.17116244434511063,0.209705609529854,0.1547567222103869,0.7693446044525931
0.15803768163372844,0.16943521594684385,0.17459222713936207,0.20798711126299857,0.1580376816337284,0.7718239869888848
0.16057250066123474,0.1725694226791199,0.17892431142469256,0.190763071815652,0.16057250066123457,0.7767254278289428
0.1621934263487388,0.17639315489249674,0.182354094218944,0.1732558707220622,0.16219342634873885,0.7944238974681186
0.16464797096124495,0.18015420297122797,0.18484527603684298,0.17250402773031293,0.1646479709612449,0.8048470472247331
0.16663939394874994,0.18310035729956742,0.18815475196561715,0.15978128203876385,0.16663939394874988,0.8124054703225259
0.16868124573542165,0.1851689337428697,0.1907880203401573,0.15403993555631498,0.1686812457354216,0.8125518272402994
0.17009736874875858,0.18892998182160092,0.1937479840821572,0.13902260411072595,0.17009736874875853,0.8310658273597245
0.1717615191212627,0.19150003134206728,0.1961779753391668,0.13153346677732752,0.17176151912126275,0.8381142323343571
0.1733536283521,0.19350592365072394,0.1990134837030868,0.11963091344041399,0.17335362835210016,0.841256543697539
0.17475637229627017,0.1956998683633172,0.20149325711132848,0.10925157447639505,0.17475637229627022,0.8473637918996957
0.17621571999460717,0.19801918134520147,0.20373345391676634,0.10164526680662012,0.17621571999460722,0.853977486158243
0.17738793228544347,0.20002507365385813,0.20598194774740952,0.09128545623199727,0.17738793228544342,0.8603860078599279
0.1785107449362796,0.2016548611546417,0.20730428613950824,0.08923497534540839,0.17851074493627966,0.8642250988561528
0.17933715974711495,0.20334733279007078,0.20903525302296933,0.08051554948005663,0.1793371597471149,0.8708867287934314
0.18030354020461736,0.20491443615620886,0.21052249479102392,0.07543816823707465,0.1803035402046173,0.8754459101552374
0.1811999378387863,0.20604275057982824,0.21216634290982894,0.0682907777181077,0.18119993783878646,0.8771326712345902
0.18229393403295568,0.2083620635617125,0.21332792643857457,0.06737294341649172,0.18229393403295563,0.8865004339778153
0.18307403668129096,0.21024258760107817,0.21474879200498653,0.06110433042034859,0.1830740366812909,0.8949185039064229
0.18374813593545936,0.21168432269792514,0.21577347461784424,0.05762827710784553,0.1837481359354594,0.9007566513747314
0.18452720942462797,0.21268726885225342,0.21674733795131929,0.05569496655763316,0.1845272094246279,0.9023568769385228
0.18510765519462946,0.2140036356798094,0.21774194384780765,0.05163306156324757,0.1851076551946293,0.9079457568673206
0.1858311540887979,0.21575879144988397,0.2186235027758735,0.04992432749109017,0.18583115408879763,0.915780907880622
