Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-11-09,0.0,0.0,0.0,0.3787140555582678,0.0,0.6409084932032894,2020-11-09
2020-11-10,0.008044663809081531,0.005141865939784385,0.006351619988053947,0.39423912512815507,0.008044663809081587,0.6130500325343107,2020-11-10
2020-11-11,0.01687324568793691,0.010407632263659983,0.013845231745926945,0.4063857833325196,0.016873245687936966,0.5795705244633025,2020-11-11
2020-11-12,0.02411960760945059,0.016850452236401914,0.020511492646171303,0.4111409461504662,0.02411960760945059,0.5751529659408092,2020-11-12
2020-11-13,0.03213550378294405,0.022487919712551097,0.027214891490149662,0.4229849143191915,0.02411960760945059,0.5751529659408092,2020-11-13
2020-11-14,0.039676733969235045,0.02843513814892823,0.03455685664444236,0.4242249670458429,0.039676733969235045,0.5433796729847256,2020-11-14
2020-11-15,0.04300042329520937,0.034320406393259784,0.042403278867787886,0.38061807352438604,0.04300042329520942,0.5711046362522127,2020-11-15
2020-11-16,0.046901520164057686,0.04045347540577371,0.04607580885925644,0.3819655323927159,0.04690152016405774,0.5954577161433443,2020-11-16
2020-11-17,0.053472870064809386,0.04658654441828769,0.050636554671695366,0.4002831616462432,0.05347287006480933,0.5943347345124463,2020-11-17
2020-11-18,0.061164102922380836,0.05470201957626064,0.05775569216358434,0.4047161060391544,0.06116410292238078,0.6021401355449019,2020-11-18
2020-11-19,0.06891698071335517,0.06077313839672899,0.06465200199306964,0.41216618659376064,0.06891698071335522,0.5896342629407645,2020-11-19
2020-11-20,0.0757061427121305,0.06808326105810925,0.07370437577822042,0.38985500170873405,0.07570614271213055,0.5977765110945104,2020-11-20
2020-11-21,0.08174631877006022,0.0749597323751704,0.08088747306209565,0.37818678904457353,0.08174631877006028,0.6083224644852203,2020-11-21
2020-11-22,0.08867726411566235,0.08245570561268734,0.08723599822150513,0.38278572474735145,0.0886772641156624,0.6165041650512171,2020-11-22
2020-11-23,0.0932533730052727,0.08995167885020439,0.09468009272106614,0.35463555143289555,0.09325337300527264,0.6450336740336065,2020-11-23
2020-11-24,0.09964800743026925,0.09670424978317427,0.09977933871764744,0.3660791876190011,0.0996480074302693,0.6505367945903604,2020-11-24
2020-11-25,0.1050378294407982,0.10283731879568825,0.10530979750536174,0.36398964995362004,0.10503782944079826,0.6590224233126962,2020-11-25
2020-11-26,0.11066292961381508,0.10847478627183738,0.11040285384465398,0.36835424498364494,0.11066292961381502,0.6609546587035116,2020-11-26
2020-11-27,0.11629522169572881,0.11454590509230578,0.11652751973211162,0.3629546453156276,0.11629522169572876,0.6665860286202641,2020-11-27
2020-11-28,0.12143024464819241,0.12005947218436375,0.12324536110976425,0.3473026412146658,0.12143024464819246,0.6714374682847417,2020-11-28
2020-11-29,0.12647074536943803,0.12427208524346423,0.12977029150191,0.33278328369867693,0.1264707453694381,0.6657952220986818,2020-11-29
2020-11-30,0.13029889573375963,0.13096270598438853,0.13577838551042487,0.31124347019479565,0.13029889573375958,0.6914200364036214,2020-11-30
2020-12-01,0.13441472245396147,0.13629042250030976,0.14097357119498555,0.3003466289117805,0.13441472245396163,0.7027618520486811,2020-12-01
2020-12-02,0.13846684940964704,0.14137033824804857,0.1464710184771586,0.28602255528975246,0.13846684940964699,0.7123805990144385,2020-12-02
2020-12-03,0.14230321909842225,0.14645025399578737,0.15145781903298983,0.2744812771566665,0.1423032190984223,0.723632893384611,2020-12-03
2020-12-04,0.14648171816758382,0.15097261801511586,0.15647350465616972,0.2660059561587658,0.14648171816758387,0.7273186674364585,2020-12-04
2020-12-05,0.1499944519559937,0.15574278280262666,0.16154489719495047,0.25063711370404723,0.14999445195599376,0.7383867298796032,2020-12-05
2020-12-06,0.15277463845246564,0.1600173460537727,0.1663129965265706,0.23125518722843333,0.1527746384524657,0.7511656497974268,2020-12-06
2020-12-07,0.1544945320944071,0.1639202081526453,0.17025168178146588,0.209705609529854,0.15449453209440717,0.7693446044525931,2020-12-07
2020-12-08,0.1577699328892158,0.16745136909924419,0.17366321455724865,0.20798711126299857,0.15776993288921587,0.7718239869888848,2020-12-08
2020-12-09,0.16030045740540588,0.1705488787015239,0.17797224763993524,0.190763071815652,0.16030045740540572,0.7767254278289428,2020-12-09
2020-12-10,0.16191863690723263,0.17432784041630522,0.181383780415718,0.1732558707220622,0.16191863690723268,0.7944238974681186,2020-12-10
2020-12-11,0.16436902300999878,0.17804485193904096,0.18386170655041112,0.17250402773031293,0.16436902300999873,0.8048470472247331,2020-12-11
2020-12-12,0.16635707211224304,0.18095651096518395,0.18715357261860666,0.15978128203876385,0.1663570721122431,0.8124054703225259,2020-12-12
2020-12-13,0.16839546457676646,0.1830008673026886,0.1897728292613985,0.15403993555631498,0.1683954645767663,0.8125518272402994,2020-12-13
2020-12-14,0.16980918838280679,0.18671787882542434,0.1927170429118623,0.13902260411072595,0.16980918838280684,0.8310658273597245,2020-12-14
2020-12-15,0.1714705193380156,0.18925783669929375,0.19513410408321374,0.13153346677732752,0.17147051933801566,0.8381142323343571,2020-12-15
2020-12-16,0.17305993120425434,0.19124024284475283,0.19795452458789775,0.11963091344041399,0.1730599312042544,0.841256543697539,2020-12-16
2020-12-17,0.17446029860805745,0.19340849956634865,0.2004211030175611,0.10925157447639505,0.1744602986080574,0.8473637918996957,2020-12-17
2020-12-18,0.17591717386747985,0.19570065667203562,0.20264937964159813,0.10164526680662012,0.1759171738674799,0.853977486158243,2020-12-18
2020-12-19,0.17708740018657865,0.1976830628174947,0.20488590914202065,0.09128545623199727,0.1770874001865786,0.8603860078599279,2020-12-19
2020-12-20,0.17820831055895514,0.1992937678106802,0.2062012113159314,0.08923497534540839,0.1782083105589553,0.8642250988561528,2020-12-20
2020-12-21,0.17903332525099758,0.20096642299591128,0.2079229676518194,0.08051554948005663,0.17903332525099752,0.8708867287934314,2020-12-21
2020-12-22,0.17999806845875332,0.2025151777970512,0.20940229574388847,0.07543816823707465,0.17999806845875338,0.8754459101552374,2020-12-22
2020-12-23,0.18089294740865247,0.20363028125387184,0.2110373968777305,0.0682907777181077,0.18089294740865264,0.8771326712345902,2020-12-23
2020-12-24,0.18198509014544095,0.20592243835955892,0.2121927995716757,0.06737294341649172,0.1819850901454409,0.8865004339778153,2020-12-24
2020-12-25,0.1827638711374312,0.20778094412092674,0.21360610465266217,0.06110433042034859,0.18276387113743114,0.8949185039064229,2020-12-25
2020-12-26,0.18343682832707975,0.2092057985379755,0.21462533488624957,0.05762827710784553,0.18343682832707991,0.9007566513747314,2020-12-26
2020-12-27,0.18421458190351336,0.21019700161070498,0.21559401625197683,0.05569496655763316,0.1842145819035133,0.9023568769385228,2020-12-27
2020-12-28,0.1847940442775008,0.21149795564366247,0.21658332980866735,0.05163306156324757,0.18479404427750074,0.9079457568673206,2020-12-28
2020-12-29,0.18551631741387176,0.21323256102093913,0.2174601979246079,0.04992432749109017,0.1855163174138716,0.9157809078806212,2020-12-29
2020-12-30,0.18621187774576808,0.21453351505389662,0.21842991089988328,0.04715129619684616,0.18621187774576814,0.9204260555349029,2020-12-30
2020-12-31,0.18621187774576808,0.21453351505389662,0.21842991089988328,0.04715129619684616,0.18621187774576814,0.9204260555349029,2020-12-31
2021-01-01,0.1868016142753227,0.21533886755048937,0.21934598017865414,0.04395840453058633,0.18680161427532255,0.9220357058211937,2021-01-01
2021-01-02,0.18791019566101863,0.21750712427208518,0.22059732256057862,0.04230825562661719,0.1879101956610187,0.9301466910644045,2021-01-02
2021-01-03,0.188345819857066,0.2183744269607235,0.22132770212067976,0.03939852560660059,0.18834581985706594,0.9334451026776733,2021-01-03
2021-01-04,0.18874034743084467,0.21911782926527068,0.22207768226219593,0.03593223648879558,0.18874034743084472,0.936101396708862,2021-01-04
2021-01-05,0.18919446510691285,0.21986123156981785,0.222652288780524,0.03469218376214421,0.1891944651069129,0.938282662026749,2021-01-05
2021-01-06,0.18986639488100476,0.22085243464254734,0.2233940160456549,0.03390128399160279,0.1898663948810047,0.9406605331412834,2021-01-06
2021-01-07,0.1903657188415684,0.22202948829141367,0.2241986714932238,0.030845091051115558,0.19036571884156855,0.9458397071662175,2021-01-07
2021-01-08,0.1903657188415684,0.22202948829141367,0.2241986714932238,0.030845091051115558,0.19036571884156855,0.9458397071662175,2021-01-08
2021-01-09,0.1913551200226853,0.22339239251641674,0.2256697467089076,0.026109456622565055,0.19135512002268523,0.9485734321692174,2021-01-09
2021-01-10,0.19176505882981476,0.2241357948209639,0.22629077565690314,0.024010154762485966,0.19176505882981482,0.9510863381282046,2021-01-10
2021-01-11,0.19207944799016974,0.22494114731755666,0.2267106407430064,0.022897036566909144,0.19207944799016968,0.9548304361514273,2021-01-11
2021-01-12,0.19247603039506178,0.22593235039028614,0.2272728679467565,0.021188302494751742,0.19247603039506184,0.9593573141671632,2021-01-12
2021-01-13,0.19284281774880918,0.22661380250278773,0.22782374744547684,0.019352633891519797,0.19284281774880924,0.9617217937971052,2021-01-13
2021-01-14,0.1931921390380924,0.22686160327097016,0.2282260751692613,0.018825367377825513,0.19319213901751348,0.9608739045358359,2021-01-14
2021-01-15,0.19349522662732355,0.22748110519142606,0.22866657244632793,0.01743885173070351,0.1934952266273236,0.9632602590597523,2021-01-15
2021-01-16,0.19380242387878144,0.22785280634369964,0.22907612143694955,0.01642337548210711,0.19380242387878138,0.9637006769956065,2021-01-16
